"","players","PlayerID","SportsDataID","Status","TeamID","Team","Jersey","PositionCategory","Position","FirstName","LastName","Height","Weight","BirthDate","BirthCity","BirthState","BirthCountry","HighSchool","College","Salary","headshot","Experience","SportRadarPlayerID","RotoworldPlayerID","RotoWirePlayerID","FantasyAlarmPlayerID","StatsPlayerID","SportsDirectPlayerID","XmlTeamPlayerID","InjuryStatus","InjuryBodyPart","InjuryStartDate","InjuryNotes","FanDuelPlayerID","DraftKingsPlayerID","YahooPlayerID","FanDuelName","DraftKingsName","YahooName","DepthChartPosition","DepthChartOrder","GlobalTeamID","FantasyDraftName","FantasyDraftPlayerID","UsaTodayPlayerID","UsaTodayHeadshotUrl","UsaTodayHeadshotNoBackgroundUrl","UsaTodayHeadshotUpdated","UsaTodayHeadshotNoBackgroundUpdated","NbaDotComPlayerID"
"78","Evan Fournier",20000679,NA,"Active",6,"NY","13","F","SF","Evan","Fournier",79,205,"1992-10-29T00:00:00","Saint-Maurice","NULL","France","NULL","None","1.7e+07","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000679.png","9","b736d95c-8474-48b2-9000-24ce926eace3","1983",3317,"200440","659767","751207","3414","Scrambled","Scrambled","2021-01-08T00:00:00","Scrambled",23096,"659767","5054","Evan Fournier","Evan Fournier","Evan Fournier","SF","0",20000006,"Evan Fournier","659767","8277218","http://cdn.usatsimg.com/api/download/?imageID=16937191","http://cdn.usatsimg.com/api/download/?imageID=16937189","2021-10-11T21:40:53","2021-10-11T21:40:44","203095"
"79","Elfrid Payton",20000680,NA,"Active",29,"PHO","2","G","PG","Elfrid","Payton",75,195,"1994-02-22T00:00:00","Gretna","LA","USA","NULL","Louisiana-Lafayette","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000680.png","5","5fe45e9e-7401-4896-8883-5f969361dbb7","2343",3594,"200503","608661","750009","3732","Scrambled","Scrambled","NULL","Scrambled",19138,"608661","5321","Elfrid Payton","Elfrid Payton","Elfrid Payton","PG","1",20000029,"Elfrid Payton","608661","8277068","http://cdn.usatsimg.com/api/download/?imageID=16936202","http://cdn.usatsimg.com/api/download/?imageID=16936201","2021-10-11T18:51:05","2021-10-11T18:50:58","203901"
"80","Aaron Gordon",20000681,NA,"Active",20,"DEN","50","F","PF","Aaron","Gordon",80,235,"1995-09-16T00:00:00","San Jose","CA","USA","NULL","Arizona","16409091","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000681.png","6","20f85838-0bd5-4c1f-ab85-a308bafaf5bc","2313",3577,"200250","748788","755661","3700","Scrambled","Scrambled","NULL","Scrambled",41594,"748788","5295","Aaron Gordon","Aaron Gordon","Aaron Gordon","PF","0",20000020,"Aaron Gordon","748788","8259309","http://cdn.usatsimg.com/api/download/?imageID=16905963","http://cdn.usatsimg.com/api/download/?imageID=16916682","2021-10-07T11:30:00","2021-10-08T22:30:03","203932"
"81","Dewayne Dedmon",20000684,NA,"Active",4,"MIA","21","C","C","Dewayne","Dedmon",84,245,"1989-08-12T00:00:00","Lancaster","CA","USA","NULL","USC","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000684.png","8","b8a77045-a325-4ac1-ad9c-d065ec1f41a4","2253",3486,"200103","606642","750727","3569","Scrambled","Scrambled","2021-12-24T00:00:00","Scrambled",16301,"606642","5256","Dewayne Dedmon","Dewayne Dedmon","Dewayne Dedmon","C","1",20000004,"Dewayne Dedmon","606642","8273009","http://cdn.usatsimg.com/api/download/?imageID=16932058","http://cdn.usatsimg.com/api/download/?imageID=16937303","2021-10-10T21:02:23","2021-10-11T21:55:52","203473"
"82","Maurice Harkless",20000686,NA,"Active",30,"SAC","8","F","SF","Maurice","Harkless",79,220,"1993-05-11T00:00:00","Queens","NY","USA","NULL","St. John's","4347600","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000686.png","9","df6f21d3-5221-42e2-945b-8fe7cebdf03e","1949",3314,"200224","609843","750963","3426","Scrambled","Scrambled","2022-01-08T00:00:00","Scrambled",16178,"609843","5021","Maurice Harkless","Moe Harkless","Moe Harkless","SG","1",20000030,"Moe Harkless","609843","8259321","http://cdn.usatsimg.com/api/download/?imageID=16936541","http://cdn.usatsimg.com/api/download/?imageID=16941492","2021-10-11T19:49:18","2021-10-12T18:49:24","203090"
"83","Victor Oladipo",20000689,NA,"Active",4,"MIA","4","G","SG","Victor","Oladipo",76,213,"1992-05-04T00:00:00","Upper Marlboro","MD","USA","NULL","Indiana","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000689.png","8","ae9e275c-9dce-4c10-a108-cfee6958df48","2117",3433,"200438","553166","747432","3610","Scrambled","Scrambled","2021-10-05T00:00:00","Scrambled",15684,"553166","5153","Victor Oladipo","Victor Oladipo","Victor Oladipo","NULL","NULL",20000004,"Victor Oladipo","553166","8259325","http://cdn.usatsimg.com/api/download/?imageID=16932063","http://cdn.usatsimg.com/api/download/?imageID=16937311","2021-10-10T21:03:26","2021-10-11T21:56:25","203506"
"84","Ed Davis",20000707,NA,"Active",12,"CLE","21","F","PF","Ed","Davis",81,218,"1989-06-05T00:00:00","Washington","D.C.","USA","NULL","North Carolina","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000707.png","12","9dbc15ee-deec-4c8c-86e9-71396ff80ef8","1723",3111,"200316","462458","740144","2841","Scrambled","Scrambled","NULL","Scrambled",12365,"462458","4728","Ed Davis","Ed Davis","Ed Davis","PF","1",20000012,"Ed Davis","462458","8277387","http://cdn.usatsimg.com/api/download/?imageID=17209527","http://cdn.usatsimg.com/api/download/?imageID=17260877","2021-11-21T20:38:30","2021-11-30T11:36:19","202334"
"85","Jordan Clarkson",20000708,NA,"Active",17,"UTA","0","G","PG","Jordan","Clarkson",76,194,"1992-06-07T00:00:00","San Antonio","TX","USA","NULL","Missouri","12420000","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000708.png","7","03d77214-5780-4715-8df2-13de3af5ea2d","2393",3614,"200470","551975","747999","3739","Scrambled","Scrambled","NULL","Scrambled",20640,"551975","5357","Jordan Clarkson","Jordan Clarkson","Jordan Clarkson","PG","1",20000017,"Jordan Clarkson","551975","8246883","http://cdn.usatsimg.com/api/download/?imageID=16946832","http://cdn.usatsimg.com/api/download/?imageID=16946885","2021-10-13T14:23:31","2021-10-13T14:34:31","203903"
"86","Julius Randle",20000710,NA,"Active",6,"NY","30","F","PF","Julius","Randle",80,250,"1994-11-29T00:00:00","Dallas","TX","USA","NULL","Kentucky","21780000","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000710.png","7","24c85a15-686e-4161-934b-40948188fa36","2352",3574,"200253","786412","756761","3728","Scrambled","Scrambled","NULL","Scrambled",42669,"786412","5318","Julius Randle","Julius Randle","Julius Randle","PF","0",20000006,"Julius Randle","786412","8248224","http://cdn.usatsimg.com/api/download/?imageID=17209488","http://cdn.usatsimg.com/api/download/?imageID=17260886","2021-11-21T20:25:51","2021-11-30T11:40:47","203944"
"87","Wayne Ellington",20000712,NA,"Active",27,"LAL","2","G","SG","Wayne","Ellington",76,207,"1987-11-29T00:00:00","Wynnewood","PA","USA","NULL","North Carolina","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000712.png","12","47e00cc4-53ca-453b-993a-0f58279e2a94","1487",3015,"200394","329670","732730","1372","Scrambled","Scrambled","NULL","Scrambled",9956,"329670","4633","Wayne Ellington","Wayne Ellington","Wayne Ellington","SG","1",20000027,"Wayne Ellington","329670","8277092","http://cdn.usatsimg.com/api/download/?imageID=16937697","http://cdn.usatsimg.com/api/download/?imageID=16937698","2021-10-11T22:56:28","2021-10-11T22:56:36","201961"
"88","Nerlens Noel",20000716,NA,"Active",6,"NY","3","C","C","Nerlens","Noel",82,220,"1994-04-10T00:00:00","Malden","MA","USA","NULL","Kentucky","8e+06","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000716.png","7","2012f4fd-98e0-4080-98a7-0cfb9de87067","2112",3431,"200051","699947","751307","3609","Scrambled","Scrambled","2021-12-22T00:00:00","Scrambled",23825,"699947","5157","Nerlens Noel","Nerlens Noel","Nerlens Noel","C","0",20000006,"Nerlens Noel","699947","8248206","http://cdn.usatsimg.com/api/download/?imageID=16930123","http://cdn.usatsimg.com/api/download/?imageID=16930122","2021-10-10T16:19:33","2021-10-10T16:19:28","203457"
"89","Joel Embiid",20000726,NA,"Active",7,"PHI","21","C","C","Joel","Embiid",84,280,"1994-03-16T00:00:00","Yaounde","NULL","Cameroon","NULL","Kansas","31579390","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000726.png","5","bf9ad0fd-0cb8-4360-8970-5f1b5cf3fa8d","2288",3572,"200104","794508","755796","3726","Scrambled","Scrambled","NULL","Scrambled",49111,"794508","5294","Joel Embiid","Joel Embiid","Joel Embiid","C","0",20000007,"Joel Embiid","794508","8256770","http://cdn.usatsimg.com/api/download/?imageID=16923156","http://cdn.usatsimg.com/api/download/?imageID=16923133","2021-10-09T16:11:27","2021-10-09T16:10:41","203954"
"90","Jerami Grant",20000727,NA,"Active",14,"DET","9","F","SF","Jerami","Grant",80,210,"1994-03-12T00:00:00","Portland","OR","USA","NULL","Syracuse","20002500","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000727.png","7","5b315e15-6633-4ce2-8200-71b821553314","2291",3588,"200174","699826","751269","3767","Scrambled","Scrambled","2021-12-11T00:00:00","Scrambled",23831,"699826","5350","Jerami Grant","Jerami Grant","Jerami Grant","NULL","NULL",20000014,"Jerami Grant","699826","8247811","http://cdn.usatsimg.com/api/download/?imageID=16906067","http://cdn.usatsimg.com/api/download/?imageID=16916792","2021-10-07T11:57:53","2021-10-08T22:37:13","203924"
"91","Solomon Hill",20000730,NA,"Active",3,"ATL","18","F","SF","Solomon","Hill",78,226,"1991-03-18T00:00:00","Harvey","IL","USA","NULL","Arizona","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000730.png","6","e68c7b19-7c0e-49a6-920c-48668f7ddbcf","2204",3483,"200228","509169","744867","3347","Scrambled","Scrambled","2021-12-06T00:00:00","Scrambled",15417,"509169","5193","Solomon Hill","Solomon Hill","Solomon Hill","NULL","NULL",20000003,"Solomon Hill","509169","8255309","http://cdn.usatsimg.com/api/download/?imageID=16902811","http://cdn.usatsimg.com/api/download/?imageID=16902810","2021-10-06T20:42:06","2021-10-06T20:41:52","203524"
"92","C.J. Miles",20000733,NA,"Active",9,"BOS","50","F","SF","C.J.","Miles",78,220,"1987-03-18T00:00:00","Dallas","TX","USA","Skyline (TX)","None","NULL","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000733.png","14","732b1bd6-d99a-4971-bc2c-4de4842b4a9a","1191",2627,"200413","292394","725669","1217","Scrambled","Scrambled","NULL","Scrambled",9725,"292394","3960","C.J. Miles","C.J. Miles","C.J. Miles","NULL","NULL",20000009,"C.J. Miles","292394","8291739","http://cdn.usatsimg.com/api/download/?imageID=10418676","http://cdn.usatsimg.com/api/download/?imageID=10773387","2017-11-17T17:07:00","2018-04-07T18:44:31","101139"
"93","Paul George",20000742,NA,"Active",28,"LAC","13","F","SF","Paul","George",80,220,"1990-05-02T00:00:00","Palmdale","CA","USA","NULL","Fresno State","39344900","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000742.png","11","db09f372-9a17-4889-add7-bf8a75ab6da6","1731",3114,"200221","469218","740245","2881","Scrambled","Scrambled","2021-12-25T00:00:00","Scrambled",12341,"469218","4725","Paul George","Paul George","Paul George","SF","0",20000028,"Paul George","469218","8247398","http://cdn.usatsimg.com/api/download/?imageID=17138985","http://cdn.usatsimg.com/api/download/?imageID=17138984","2021-11-11T12:57:37","2021-11-11T12:57:30","202331"
"94","George Hill",20000743,NA,"Active",15,"MIL","3","G","PG","George","Hill",75,188,"1986-05-04T00:00:00","Indianapolis","IN","USA","NULL","IUPUI","4e+06","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000743.png","13","6e566165-6674-4306-9994-470f60720a2c","1527",2963,"200507","277552","723400","1986","Scrambled","Scrambled","2022-01-05T00:00:00","Scrambled",9703,"277552","4488","George Hill","George Hill","George Hill","PG","1",20000015,"George Hill","277552","8277158","http://cdn.usatsimg.com/api/download/?imageID=16932230","http://cdn.usatsimg.com/api/download/?imageID=16932229","2021-10-10T21:34:37","2021-10-10T21:34:34","201588"
"95","Brandon Knight",20000745,NA,"Active",25,"DAL","20","G","PG","Brandon","Knight",74,182,"1991-12-02T00:00:00","Miami","Florida","USA","NULL","Kentucky","NULL","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000745.png","8","f58a9803-0ede-4c0b-acbd-08bc0da229af","1828",3184,"200457","553575","748939","3043","Scrambled","Scrambled","NULL","Scrambled",14506,"553575","4889","Brandon Knight","Brandon Knight","Brandon Knight","PG","1",20000025,"Brandon Knight","553575","8291807","http://cdn.usatsimg.com/api/download/?imageID=13477348","http://cdn.usatsimg.com/api/download/?imageID=13514819","2019-10-09T17:16:12","2019-10-14T09:57:12","202688"
"96","Lance Stephenson",20000751,NA,"Active",13,"IND","6","G","SG","Lance","Stephenson",78,230,"1990-09-05T00:00:00","Brooklyn","New York","NULL","NULL","Cincinnati","NULL","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000751.png","7","01e8f44f-f1ee-4d3a-86bd-c29d597ba9bd","1744",3127,"200358","511057","744084","1740","Scrambled","Scrambled","NULL","Scrambled",12369,"511057","4771","Lance Stephenson","Lance Stephenson","Lance Stephenson","PF","1",20000013,"Lance Stephenson","511057","8291965","http://cdn.usatsimg.com/api/download/?imageID=11419099","NULL","2018-10-11T17:56:08","NULL","NULL"
"97","Kemba Walker",20000752,NA,"Active",6,"NY","8","G","PG","Kemba","Walker",72,184,"1990-05-08T00:00:00","Bronx","NY","USA","NULL","Connecticut","8729020","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000752.png","10","a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38","1822",3189,"200537","462980","740431","2972","Scrambled","Scrambled","2021-12-31T00:00:00","Scrambled",14507,"462980","4890","Kemba Walker","Kemba Walker","Kemba Walker","PG","0",20000006,"Kemba Walker","462980","8277224","http://cdn.usatsimg.com/api/download/?imageID=16930296","http://cdn.usatsimg.com/api/download/?imageID=16937209","2021-10-10T16:37:14","2021-10-11T21:44:35","202689"
"98","Cody Zeller",20000754,NA,"Active",19,"POR","40","C","C","Cody","Zeller",84,240,"1992-10-05T00:00:00","Washington","IN","USA","NULL","Indiana","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000754.png","8","e1ce75b8-44ce-4086-b2e1-d2e22efc86ff","2130",3438,"200123","602028","749341","3635","Scrambled","Scrambled","NULL","Scrambled",15691,"602028","5155","Cody Zeller","Cody Zeller","Cody Zeller","C","1",20000019,"Cody Zeller","602028","8276982","http://cdn.usatsimg.com/api/download/?imageID=16936363","http://cdn.usatsimg.com/api/download/?imageID=16941459","2021-10-11T19:16:12","2021-10-12T18:42:42","203469"
"99","Mario Chalmers",20000773,NA,"Active",4,"MIA","15","G","PG","Mario","Chalmers",74,190,"1986-05-19T00:00:00","Anchorage","AK","USA","NULL","Kansas","NULL","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000773.png","7","b60c920c-b42e-4896-9f6d-7f3031fc6492","1470",2938,"200542","296572","725751","1938","Scrambled","Scrambled","2022-01-08T00:00:00","Scrambled",9583,"296572","4496","Mario Chalmers","Mario Chalmers","Mario Chalmers","NULL","NULL",20000004,"Mario Chalmers","1020776","8291941","NULL","NULL","NULL","NULL","NULL"
"100","James Ennis III",20000776,NA,"Active",20,"DEN","NULL","F","SF","James","Ennis III",78,215,"1990-07-01T00:00:00","Ventura","CA","USA","NULL","Long Beach State","NULL","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000776.png","6","4cbe58e4-5e4b-46b0-9f7b-6cf18ad002c6","2206",3481,"200167","602135","749507","3572","Scrambled","Scrambled","NULL","Scrambled",17491,"602135","5220","James Ennis","James Ennis III","James Ennis III","PF","1",20000020,"James Ennis III","602135","8291889","http://cdn.usatsimg.com/api/download/?imageID=14627773","http://cdn.usatsimg.com/api/download/?imageID=14627774","2020-07-28T19:25:29","2020-07-28T19:25:31","203516"
"101","Udonis Haslem",20000780,NA,"Active",4,"MIA","40","F","PF","Udonis","Haslem",80,235,"1980-06-09T00:00:00","Miami","FL","USA","NULL","Florida","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000780.png","18","ed343fa6-397c-4456-9f3f-63efee6706b5","988",2412,"200350","226806","538142","685","Scrambled","Scrambled","NULL","Scrambled",9589,"226806","3765","Udonis Haslem","Udonis Haslem","Udonis Haslem","PF","1",20000004,"Udonis Haslem","226806","8247507","http://cdn.usatsimg.com/api/download/?imageID=17139366","http://cdn.usatsimg.com/api/download/?imageID=17139364","2021-11-11T13:49:45","2021-11-11T13:49:42","2617"
"102","Carmelo Anthony",20000784,NA,"Active",27,"LAL","7","F","PF","Carmelo","Anthony",79,238,"1984-05-29T00:00:00","Brooklyn","NY","USA","NULL","Syracuse","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000784.png","18","32688af1-7ac2-432e-b60a-74b9bd89df57","929",2351,"200155","172890","542943","901","Scrambled","Scrambled","NULL","Scrambled",9508,"172890","3706","Carmelo Anthony","Carmelo Anthony","Carmelo Anthony","PF","1",20000027,"Carmelo Anthony","172890","8277087","http://cdn.usatsimg.com/api/download/?imageID=16937577","http://cdn.usatsimg.com/api/download/?imageID=16941440","2021-10-11T22:28:34","2021-10-12T18:35:24","2546"
"103","Tim Hardaway Jr.",20000788,NA,"Active",25,"DAL","11","F","SF","Tim","Hardaway Jr.",77,205,"1992-03-16T00:00:00","Alameda","CA","USA","NULL","Michigan","21308816","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000788.png","7","35cd1338-c56b-4247-b53c-264585c59883","2127",3459,"200385","551771","747458","3580","Scrambled","Scrambled","NULL","Scrambled",15846,"551771","5194","Tim Hardaway","Tim Hardaway Jr.","Tim Hardaway Jr.","SF","1",20000025,"Tim Hardaway Jr.","551771","8256665","http://cdn.usatsimg.com/api/download/?imageID=16905824","http://cdn.usatsimg.com/api/download/?imageID=16916558","2021-10-07T10:48:59","2021-10-08T22:22:04","203501"
"104","Andrew Wiggins",20000795,NA,"Active",26,"GS","22","F","SF","Andrew","Wiggins",79,205,"1995-02-23T00:00:00","Toronto","ON","Canada","NULL","Kansas","31579390","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000795.png","7","77c425f0-0fce-4fab-bd1e-c915c8fb5bc7","2224",3571,"200418","794503","755812","3727","Scrambled","Scrambled","NULL","Scrambled",49116,"794503","5292","Andrew Wiggins","Andrew Wiggins","Andrew Wiggins","SF","0",20000026,"Andrew Wiggins","794503","8247485","http://cdn.usatsimg.com/api/download/?imageID=16906674","http://cdn.usatsimg.com/api/download/?imageID=16906686","2021-10-07T14:04:48","2021-10-07T14:05:30","203952"
"105","Ricky Rubio",20000797,NA,"Active",12,"CLE","3","G","PG","Ricky","Rubio",74,190,"1990-10-21T00:00:00","El Masnou","NULL","Spain","NULL","None","17800000","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000797.png","11","a3531f82-7374-41e7-ac71-ef5071ad2a12","1596",3012,"200536","503689","743692","2063","Scrambled","Scrambled","2021-12-29T00:00:00","Scrambled",14496,"503689","4610","Ricky Rubio","Ricky Rubio","Ricky Rubio","NULL","NULL",20000012,"Ricky Rubio","503689","8277180","http://cdn.usatsimg.com/api/download/?imageID=16905432","http://cdn.usatsimg.com/api/download/?imageID=16916519","2021-10-07T08:35:49","2021-10-08T22:18:59","201937"
"106","Gorgui Dieng",20000800,NA,"Active",3,"ATL","10","C","C","Gorgui","Dieng",82,252,"1990-01-18T00:00:00","Kebemer","NULL","Senegal","NULL","Louisville","4e+06","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000800.png","9","fd9448f0-99a2-4169-addf-235e14acf9f9","2136",3446,"200131","553158","747605","3223","Scrambled","Scrambled","2021-12-28T00:00:00","Scrambled",15771,"553158","5191","Gorgui Dieng","Gorgui Dieng","Gorgui Dieng","C","1",20000003,"Gorgui Dieng","553158","8277003","http://cdn.usatsimg.com/api/download/?imageID=16897439","http://cdn.usatsimg.com/api/download/?imageID=16915966","2021-10-05T20:24:15","2021-10-08T21:21:43","203476"
"107","Zach LaVine",20000804,NA,"Active",11,"CHI","8","G","SG","Zach","LaVine",77,200,"1995-03-10T00:00:00","Renton","WA","USA","NULL","UCLA","19500000","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000804.png","7","db72e294-1c54-454a-96b9-0b4fd2f38112","2304",3597,"200449","743777","756157","3772","Scrambled","Scrambled","NULL","Scrambled",40783,"743777","5324","Zach LaVine","Zach LaVine","Zach LaVine","SG","0",20000011,"Zach LaVine","743777","8247967","http://cdn.usatsimg.com/api/download/?imageID=16905540","http://cdn.usatsimg.com/api/download/?imageID=16915935","2021-10-07T09:28:21","2021-10-08T21:12:11","203897"
"108","Andre Drummond",20000810,NA,"Active",7,"PHI","1","C","C","Andre","Drummond",82,279,"1993-08-10T00:00:00","Mount Vernon","NY","USA","NULL","Connecticut","1669178","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000810.png","9","440b769d-2b8b-477f-80d7-cb21d83c0d52","1965",3300,"200066","614746","750031","3411","Scrambled","Scrambled","NULL","Scrambled",15557,"614746","5015","Andre Drummond","Andre Drummond","Andre Drummond","C","1",20000007,"Andre Drummond","614746","8277227","http://cdn.usatsimg.com/api/download/?imageID=16923173","http://cdn.usatsimg.com/api/download/?imageID=16923110","2021-10-09T16:12:07","2021-10-09T16:09:52","203083"
"109","Kentavious Caldwell-Pope",20000811,NA,"Active",1,"WAS","1","G","SG","Kentavious","Caldwell-Pope",77,204,"1993-02-18T00:00:00","Thomaston","GA","USA","NULL","Georgia","13038862","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000811.png","8","cecc054e-b9ec-4c71-8bbb-5ee665a8c3a9","2145",3450,"200445","602730","750972","3555","Scrambled","Scrambled","NULL","Scrambled",15636,"602730","5159","Kentavious Caldwell-Pope","Kentavious Caldwell-Pope","Kentavious Caldwell-Pope","SF","0",20000001,"Kentavious Caldwell-Pope","602730","8277120","http://cdn.usatsimg.com/api/download/?imageID=16941699","http://cdn.usatsimg.com/api/download/?imageID=16946989","2021-10-12T19:04:11","2021-10-13T15:00:57","203484"
"110","D.J. Augustin",20000813,NA,"Active",22,"HOU","14","G","PG","D.J.","Augustin",71,183,"1987-11-10T00:00:00","New Orleans","LA","USA","NULL","Texas","7e+06","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000813.png","12","a18805c2-d746-4d4b-be83-5b96c3bdf6af","1471",2939,"200534","329524","732679","1868","Scrambled","Scrambled","NULL","Scrambled",9466,"329524","4471","D.J. Augustin","D.J. Augustin","D.J. Augustin","SG","1",20000022,"D.J. Augustin","329524","8259170","http://cdn.usatsimg.com/api/download/?imageID=16907122","http://cdn.usatsimg.com/api/download/?imageID=16929525","2021-10-07T14:29:14","2021-10-10T14:36:12","201571"
"111","Spencer Dinwiddie",20000816,NA,"Active",1,"WAS","26","G","PG","Spencer","Dinwiddie",77,215,"1993-04-06T00:00:00","Los Angeles","CA","USA","NULL","Colorado","17142857","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000816.png","7","8426ab40-888d-4f89-976c-cd9e23717653","2398",3616,"200520","602411","749704","3710","Scrambled","Scrambled","NULL","Scrambled",15542,"602411","5349","Spencer Dinwiddie","Spencer Dinwiddie","Spencer Dinwiddie","PG","0",20000001,"Spencer Dinwiddie","602411","8277121","http://cdn.usatsimg.com/api/download/?imageID=16941716","http://cdn.usatsimg.com/api/download/?imageID=16947004","2021-10-12T19:05:03","2021-10-13T15:03:16","203915"
"112","Greg Monroe",20000818,NA,"Active",1,"WAS","55","C","C","Greg","Monroe",83,265,"1990-06-04T00:00:00","New Orleans","Louisiana","NULL","NULL","Georgetown","NULL","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000818.png","8","762d218c-cdbd-4886-9252-10cd99284c7a","1708",3108,"200295","467468","740449","2914","Scrambled","Scrambled","NULL","Scrambled",12337,"467468","4722","Greg Monroe","Greg Monroe","Greg Monroe","C","1",20000001,"Greg Monroe","467468","8292008","http://cdn.usatsimg.com/api/download/?imageID=11497974","http://cdn.usatsimg.com/api/download/?imageID=10773289","2018-10-22T18:50:35","2018-04-07T18:34:14","NULL"
"113","Danilo Gallinari",20000822,NA,"Active",3,"ATL","8","F","SF","Danilo","Gallinari",82,233,"1988-08-08T00:00:00","Sant'Angelo Lodigiano","NULL","Italy","NULL","None","20475000","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000822.png","12","47cd6421-0ce1-431e-9b9c-a8d9bfd0eb04","1472",2953,"200164","456448","739854","1855","Scrambled","Scrambled","NULL","Scrambled",9637,"456448","4468","Danilo Gallinari","Danilo Gallinari","Danilo Gallinari","PF","1",20000003,"Danilo Gallinari","456448","8255307","http://cdn.usatsimg.com/api/download/?imageID=16897421","http://cdn.usatsimg.com/api/download/?imageID=16916064","2021-10-05T20:17:51","2021-10-08T21:36:15","201568"
"114","Jusuf Nurkic",20000827,NA,"Active",19,"POR","27","C","C","Jusuf","Nurkic",84,290,"1994-08-23T00:00:00","Tuzla","Bosnia and Herzegovina","NULL","NULL","None","1.2e+07","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000827.png","7","a8b48aa9-cf98-4a87-8bba-e88eead8cdaa","2383",3580,"200099","830642","761255","3706","Scrambled","Scrambled","NULL","Scrambled",55057,"830642","5327","Jusuf Nurkic","Jusuf Nurkic","Jusuf Nurkic","C","0",20000019,"Jusuf Nurkic","830642","8246869","http://cdn.usatsimg.com/api/download/?imageID=16936451","http://cdn.usatsimg.com/api/download/?imageID=16941465","2021-10-11T19:35:44","2021-10-12T18:44:21","203994"
"115","JaVale McGee",20000828,NA,"Active",29,"PHO","0","C","C","JaVale","McGee",84,270,"1988-01-19T00:00:00","Flint","MI","USA","NULL","Nevada","5e+06","https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000828.png","14","34ff5b55-42ef-40c0-a2c4-9c28b5476a03","1508",2930,"200060","333212","733894","1960","Scrambled","Scrambled","NULL","Scrambled",9739,"333212","4480","JaVale McGee","JaVale McGee","JaVale McGee","C","1",20000029,"JaVale McGee","333212","8277067","http://cdn.usatsimg.com/api/download/?imageID=16936190","http://cdn.usatsimg.com/api/download/?imageID=16936189","2021-10-11T18:49:37","2021-10-11T18:49:32","201580"
